,budget,company,genre,gross,name,score,votes,year
274,12000000.0,Rastar Pictures,Comedy,66995879.0,The Secret of My Succe$s,6.5,24685,1987
275,20000000.0,Applied Action,Comedy,57387516.0,Dragnet,5.9,27387,1987
276,0.0,British Screen Productions,Comedy,124167.0,"Rita, Sue and Bob Too",6.4,2747,1987
277,18000000.0,TriStar Pictures,Comedy,39321715.0,Blind Date,5.9,17903,1987
278,0.0,New World Pictures,Comedy,7800000.0,House II: The Second Story,5.4,8302,1987
279,0.0,Warner Bros.,Comedy,28061343.0,Police Academy 4: Citizens on Patrol,4.8,33955,1987
280,1000000.0,Atlantic Entertainment Group,Adventure,1576615.0,The Garbage Pail Kids Movie,2.7,6348,1987
281,14000000.0,Orion Pictures,Comedy,57915972.0,Throw Momma from the Train,6.2,28550,1987
282,0.0,Incorporated Television Company (ITC),Horror,2488740.0,The Stepfather,6.8,9959,1987
283,0.0,Heron Communications,Action,9747988.0,The Hidden,7.0,13878,1987
284,0.0,Universal Pictures,Comedy,548696.0,Amazon Women on the Moon,6.2,8755,1987
285,3000000.0,Golan-Globus Productions,Comedy,3221568.0,Barfly,7.3,15647,1987
286,6000000.0,Universal Pictures,Comedy,3685862.0,Three O'Clock High,7.2,8970,1987
287,0.0,Panorama Film A/S,Comedy,4398938.0,Babette's Feast,7.8,14838,1987
288,0.0,Orion Pictures,Crime,18753438.0,The Believers,6.1,4900,1987
289,15000000.0,Amercent Films,Comedy,13290368.0,The Pick-up Artist,5.2,5348,1987
290,16000000.0,Orion Pictures,Comedy,14792779.0,Radio Days,7.6,26467,1987
291,0.0,Lightyear Entertainment,Comedy,1028679.0,Aria,5.8,2243,1987
292,3000000.0,Emshell Producers,Comedy,23509382.0,Ernest Goes to Camp,5.5,9526,1987
293,0.0,Nouvelles Éditions de Films (NEF),Drama,4542825.0,Au Revoir les Enfants,8.0,25969,1987
294,17000000.0,Columbia Pictures Corporation,Crime,10278549.0,Someone to Watch Over Me,6.1,7854,1987
295,0.0,"Guber-Peters Company, The",Comedy,7305209.0,Who's That Girl,4.7,8125,1987
296,29000000.0,Universal Pictures,Biography,5899797.0,Cry Freedom,7.5,10692,1987
297,6000000.0,Fourth Protocol,Thriller,12423831.0,The Fourth Protocol,6.5,7532,1987
298,27000000.0,Home Box Office (HBO),Drama,7393346.0,Ironweed,6.8,6874,1987
299,0.0,Amercent Films,Crime,25205460.0,Black Widow,6.3,7132,1987
300,0.0,Touchstone Pictures,Action,65673233.0,Stakeout,6.6,20039,1987
301,0.0,Imagine Films Entertainment,Comedy,34377585.0,Like Father Like Son,5.1,4817,1987
302,0.0,Pelemele Film,Comedy,3587303.0,Bagdad Cafe,7.5,10255,1987
303,0.0,Cannon Group,Drama,769119.0,Shy People,6.9,940,1987
304,0.0,Twentieth Century Fox Film Corporation,Comedy,30063289.0,Revenge of the Nerds II: Nerds in Paradise,4.9,11444,1987
305,0.0,Simcom Limited,Horror,2683519.0,Prom Night II,5.6,3440,1987
