;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4
5106;7000000;Fade to Black Productions;Drama;9166863;A Single Man;7,6;92447;2009;;;;
5107;80000000;Touchstone Pictures;Action;38577772;Surrogates;6,3;157149;2009;;;;
5108;50000000;Temple Hill Entertainment;Adventure;296623634;The Twilight Saga: New Moon;4,6;232524;2009;;;;
5109;15000000;Lionsgate;Horror;51545952;My Bloody Valentine;5,5;47784;2009;;;;
5110;105000000;Walt Disney Animation Studios;Animation;104400899;The Princess and the Frog;7,1;97887;2009;;;;
5111;40000000;Infinity Features Entertainment;Adventure;7689607;The Imaginarium of Doctor Parnassus;6,8;131731;2009;;;;
5112;40000000;DreamWorks;Comedy;71440011;I Love You, Man;7;174712;2009;;;;
5113;40000000;Universal Pictures;Action;13838130;Cirque du Freak: The Vampire's Assistant;5,9;37859;2009;;;;
5114;0;DreamWorks;Drama;28573173;The Uninvited;6,4;66806;2009;;;;
5115;0;Fidélité Films;Drama;336467;Enter the Void;7,3;51942;2009;;;;
5116;35000000;GK Films;Biography;11001272;The Young Victoria;7,3;49189;2009;;;;
5117;26000000;Lionsgate;Drama;28501651;Brothers;7,1;94974;2009;;;;
5118;900000;MPI Media Group;Horror;100659;The House of the Devil;6,4;33194;2009;;;;
5119;15000000;Dimension Films;Horror;33392973;Halloween II;4,9;39233;2009;;;;
5120;0;BBC Films;Adventure;17546;Valhalla Rising;6;47214;2009;;;;
5121;38000000;Columbia Pictures;Comedy;88915214;The Ugly Truth;6,5;175985;2009;;;;
5122;60000000;Columbia Pictures;Adventure;43337279;Year One;4,9;80204;2009;;;;
5123;20000000;Screen Gems;Comedy;17231291;Fired Up!;6,2;38879;2009;;;;
5124;40000000;Columbia Pictures;Biography;94125426;Julie & Julia;7;86198;2009;;;;
5125;30000000;Focus Features;Animation;31743332;9;7,1;117268;2009;;;;
5126;40000000;New Line Cinema;Horror;66477700;The Final Destination;5,2;81274;2009;;;;
5127;20000000;Fox Searchlight Pictures;Biography;36842118;Notorious;6,7;34791;2009;;;;
5128;80000000;The Weinstein Company;Drama;19664021;Nine;5,8;39041;2009;;;;
5129;5000000;CJ Entertainment;Action;547292;Mother;7,8;31822;2009;;;;
5130;8500000;Pathé Renn Productions;Biography;4444637;Bright Star;7;22535;2009;;;;
5131;38000000;Summit Entertainment;Action;31806100;Push;6,1;95423;2009;;;;
5132;75000000;Universal Pictures;Comedy;51855045;Funny People;6,3;104307;2009;;;;
5133;10000000;Lionsgate;Drama;47395661;Precious;7,3;93354;2009;;;;
5134;11000000;Twisted Pictures;Horror;27669413;El juego del miedo VI;6;83129;2009;;;;
5135;0;BBC Films;Drama;12574715;An Education;7,3;117159;2009;;;;
5136;50000000;Lionsgate;Action;20488579;Gamer;5,8;118535;2009;;;;
5137;30000000;Fox 2000 Pictures;Comedy;58715510;Bride Wars;5,5;86156;2009;;;;
5138;60000000;Universal Pictures;Comedy;109205660;Couples Retreat;5,5;87743;2009;;;;
