;budget;company;genre;gross;name;score;votes;year;Animation_1;Animation_2;Animation_3;Animation_4;Franchise;Disney_princess
140;160000000.0;DreamWorks Animation;Animation;320706665.0;Shrek the Third;6.1;230142.0;2007.0;;;x;;Shrek;
141;150000000.0;DreamWorks Animation;Animation;126631277.0;Bee Movie;6.1;115409.0;2007.0;;;;;;
142;75000000.0;Twentieth Century Fox Film Corporation;Animation;183135014.0;The Simpsons Movie;7.4;273363.0;2007.0;;;;;;
143;150000000.0;Walt Disney Animation Studios;Animation;97822171.0;Meet the Robinsons;6.9;72807.0;2007.0;;;;;;
144;60000000.0;Fox 2000 Pictures;Animation;217326974.0;Alvin and the Chipmunks;5.2;62132.0;2007.0;x;;;;Alvin and the Chipmunks;
145;100000000.0;Columbia Pictures;Animation;58867694.0;Surf's Up;6.7;57904.0;2007.0;;;;;;
146;34000000.0;Imagi Animation Studios;Animation;54149098.0;TMNT: Las Tortugas Ninja;6.3;55759.0;2007.0;;;;;;
147;7300000.0;2.4.7. Films;Animation;4443403.0;Persépolis;8.1;75802.0;2007.0;;;;;;
148;180000000.0;FortyFour Studios;Animation;223808164.0;WALL·E;8.4;799707.0;2008.0;;;;;;
149;130000000.0;DreamWorks Animation;Animation;215434591.0;Kung Fu Panda;7.6;339024.0;2008.0;x;;;;Kung Fu Panda;
150;150000000.0;Walt Disney Animation Studios;Animation;114053579.0;Bolt;6.9;158580.0;2008.0;;;;;;
151;34000000.0;Studio Ghibli;Animation;15090400.0;Ponyo;7.7;94663.0;2008.0;;;;;;
152;85000000.0;Blue Sky Studios;Animation;154529439.0;Horton Hears a Who!;6.8;113151.0;2008.0;;;;;;
153;150000000.0;DreamWorks Animation;Animation;180010950.0;Madagascar: Escape 2 Africa;6.7;162026.0;2008.0;;x;;;Madagascar;
154;8500000.0;Lucasfilm Animation;Animation;35161554.0;Star Wars: The Clone Wars;5.9;45749.0;2008.0;;;;;;
155;1500000.0;Bridgit Folman Film Gang;Animation;2283276.0;Waltz with Bashir;8;48937.0;2008.0;;;;;;
156;25000000.0;Exodus Film Group;Animation;19528602.0;Igor;6;20476.0;2008.0;;;;;;
157;60000000.0;Universal Pictures;Animation;50877145.0;The Tale of Despereaux;6.1;32512.0;2008.0;;;;;;
158;40000000.0;Twentieth Century Fox Film Corporation;Animation;21002919.0;Fantastic Mr. Fox;7.8;154247.0;2009.0;;;;;;
159;60000000.0;Focus Features;Animation;75286229.0;Coraline;7.7;161158.0;2009.0;;;;;;
